content
"教你如何识别苗族谎言（一）为什么说土家族是汉族,教你识别苗族谎言（二）潘光旦教授到底说了什么？ 苗族吧的经典谎言之一土家族一开始是被当作汉族的。你们那个田心桃一开始是苗族。她外婆都是苗族。-------------真相1--------------清朝灭亡后，中国只承认汉、满、蒙、回、藏。也就是常说的五族共和。这是写在历史书上的。还是学生的可以自己问老师。现在的民族分类是1949年中华人民共和国成立后才开始。真相就简单了。苗族也好，土家族也好，壮族也好，以前都是被当作汉族。所以我们可以发现苗族的居心很险恶，只谈说土家族以前被识别为汉族，怎么就不谈自己以前也是汉族。呵呵。--------------真相2--------------田心桃为什么一开始被识别为苗族。民族识别是大工程，有先来后到，全国56个民族直到1987年才基本识别完毕。难道要说1987才识别出来的民族就是假的吗？你们一个民间组织（苗学会）何时具有官方的权威力了？苗族仅仅被先识别了而已，统计时还错误的把土家族统计为苗族。所以才有了后来田心桃上北京要求区别开来。识别时间是1956年，仅仅比苗族晚了一点而已。土家族说的毕兹语是属于藏缅语（*这是民族识别时最重要的依据），语法具有典型的黏着语特征（和日语语法差不多）。明显区别于苗族的苗语。苗语是苗瑶语，语法类似于汉语。进行识别工作的都是汉族，弄错了不要紧。但是一些有政治目的的苗族就开始大作文章了。至于田心桃外婆一直保持苗族身份也被苗族吧的深水客作为某种证据。其实，他们傻了，这恰好说明了，真的土家族不说谎。外婆是苗族就是苗族勿需改。苗族、土家族、汉族一直交错混居。家里同时有几个民族奇怪吗？苗族家里也有其他族啊。到深水客嘴里就避而不谈了。说的好像苗族不和外族通婚一样。----------------------------奉劝苗族吧的苗族一句话人在做，天在看。你们苗族自己有特殊政治要求不要老是扯我们土家族进去。我们没有兴趣。你们自己玩火就够了。 到时候联手换回百年平安"
土家族是有重大贡献的民族，土家族的祖先蚌埠氏(彭祖)建立的包 土家族是有重大贡献的民族，土家族的祖先蚌埠氏(彭祖)建立的包牺氏部落联盟，整合了中国本土的夏族与西北中亚方向外来的华族，黄帝族、炎帝族、周族、华胥族，以及东部的蚩尤集团都加入了包牺氏联盟，炎帝集团就是包牺氏联盟的最后一个执政部族。中国的统一起始于包牺氏联盟，土家族祖先蚌埠氏(彭祖)居功至伟。土家族是新石器时代的古老民族，祖先就是传说中的的彭祖，也叫蚌埠氏，原本是生活在辽西，后迁往鄂尔多斯、甘肃、青海，在甘青建立了包牺氏部落联盟，是联盟的第一代执政部落。其后从青海南下四川，接着被后面南下的月氏人赶到东边的湘西成为土家族。土家族崇拜慕古斯(神)，慕古就是蒙古，意思是天空神(长生天)。 土家彭氏土司本来江西人，末代嫡传土司800年后都回老家去了！！附和这些中原神话有啥意义！！西方亚当夏娃怎么也不可能是亚洲夏朝后代嘛
祝各位毕兹卡新年快乐！ bifzixkar niex lon 祝各位毕兹卡新年快乐！ bifzixkar niex longr afsiv livsir！吉祥如意 ！嚜夺涅卡岔 ！mefdor lier karcaf🙏 NA
土家族古代有啥特殊甲冑吗？ NA NA
娶个土家族老婆现在容易吗？ 娶个土家族老婆现在容易吗？ NA
土家族跟苗族父系Y染色体类型差异巨大！ 土家族跟苗族父系Y染色体类型差异巨大！ 从父系Y染色体上看，土家族跟苗族父系差异很大，苗族最大的两支父系O1b跟O2a2a1b(M7)是南方常见的单倍群，北方极少，可以看出苗族是南方起源和形成的民族，而土家族最大的是C2a支系，来至于中国北方，土家语属于藏缅语族，而苗瑶壮侗父系一致，语言也是同一语系，差异巨大！
从古籍中看土家族之贵州土家族 本帖资料来源：《百苗图抄本汇编》杨庭硕/潘盛之 编著 贵州人民出版社《八十二种苗图并说》清代李宗昉《黔记》中所称的陈浩《八十二种苗图并说》的一系列抄本的总称（今天国内外所藏的抄本多达170多种）成书年代至今争议较大，但多数主张成于嘉庆时期 刘甲本《七十二苗全图》
各个土家族聚居地的土家语地名，不知道有没有感兴趣的吧友 最近找到一本有关各地土家语地名考订的书。虽然现在大部分地区已经不说土家语了，但是还留有一些土家语地名。 有没有想了解了解自己家乡的土家语地名的
"土家族田姓Y染色体 土家族田姓Y染色体 可以看出土家族最大的姓氏:田姓以土家核心单倍群C-M130(也就是C-SK1038)为主,没有苗瑶核心单倍群O-N5和O2-PK4，土家和苗族父系单倍群差异巨大"
做了三次基因检测，三次的差别都好大！ 我身份证上是土家族，我奶奶是土家族，但是我不会说土家族语言。我外婆是苗族。但是为什么结果差别巨大！请问我是不是土家族人 这种检测都是扯淡
问下大家向姓的历史 本人姓向，湖南南县附近的人，和土家族有关联吗？ 这个得问家里的老人，又不是所有姓向的都是土家族。
