"","text","category_id","cateory","ethnic"
"1","从古籍看土家族之“冉家蛮” 从古籍看土家族之“冉家蛮” 本帖资料来源：《百苗图抄本汇编》杨庭硕/潘盛之 编著 贵州人民出版社《八十二种苗图并说》 陈浩 著  清乾隆至嘉庆年间",3,"culture","Tujia"
"2","从古籍看土家族之“蛮人” 从古籍看土家族之“蛮人” 本帖资料来源：《百苗图抄本汇编》杨庭硕/潘盛之 编著 贵州人民出版社《八十二种苗图并说》 陈浩 著 清乾隆至嘉庆年间",3,"culture","Tujia"
"3","从古籍看土家族之《苗防备览》 本帖资料来源：《苗防备览第九卷》清朝后期，作者严如熤（1759—1826）清地理学家。湖南溆浦人。字炳文，一字苏亭，号乐园（一说字乐园）。曾就读岳麓书院。留心经世之学，精研天文，地理，兵法。清乾隆五十四年（1789）举优贡。 原版古籍书扫描图。",3,"culture","Tujia"
"4","从古籍看土家族之《楚南苗志》 本帖资料来源：《楚南苗志卷六<土志>》湖北巡抚采进本，清朝段汝霖撰。汝霖字时斋，号梅亭，汉阳人。由举人历官建宁府知府。是书乃汝霖为湖南永绥同知时所作。",3,"culture","Tujia"
"5","湖南世居少数民族之土家族篇 资料来源：湘西州民宗委网站http://mw.xxz.gov.cn/mzzs/201303/t20130327_69692.html 1、文化艺术： 　　神话、传说、故事、诗歌、音乐、舞蹈、雕塑、建筑、绣织等，构成土家族绚丽多彩、独具一格的文化艺术。土家语属汉藏语系藏缅语族。土家族民间文学主要有民间歌谣、传说、故事、诗歌等，其中，《摆手歌》、《梯玛歌》、《哭嫁歌》最具代表性。土家族地区素有“歌的海洋”的美称。土家山歌分情歌、哭嫁歌、摆手歌、诉苦歌、劳动歌、盘歌等多种，曲调优美动听，旋律朴素无华，感情真挚热烈。传统的《摆手舞》土家语称“社巴日”，古朴刚健，有鲜明的民族特色和浓厚的土家山乡气息，每年春节期间，大家聚在村寨中设的“摆手堂”前举行摆手舞会，多时达万人。土家族地区流行的剧种有茅古斯、傩愿戏、阳戏等。茅古斯是土家族古老而原始的戏剧，多在小摆手舞活动的间隙表演。乐器主要有唢呐、木叶、“咚咚喹”以及打击乐器“打溜子”。“咚咚喹”是土家族具有特色的乐器，声音柔和悦耳，曲调活泼欢快。土家族工艺美术主要有织锦、雕刻、绘画、剪纸，都具有浓郁的民族风格和较高的工艺水平。“西兰卡普”（土家语，即土花铺盖）是土家妇女借鉴鲜花、羽毛、晚霞和彩虹的自然色谱而精织的特有手工艺品，织工精巧，色彩绚丽。它和摆手舞一起被称作土家族人民的艺术之花。吊脚楼为土家人居住生活的场所，多依山就势而建。湖南永顺老司城、溪州铜柱是国家重点保护文物。土家族打溜子、土家族摆手舞、湘西土家族毛古斯舞、土家族织锦技艺等入选了第一批国家级非物质文化遗产名录。土家族梯玛神歌、土家族咚咚喹、土家族跳丧舞、土家族过赶年、土家社巴日、土家族打溜子、土家族摆手舞、土家族织锦技艺等入选湖南省第一批省级非物质文化遗产名录。",3,"culture","Tujia"
"6","土家族牛头宴 资料来源：湘西州民宗委网站http://mw.xxz.gov.cn/mzzs/201406/t20140606_123483.html 牛头宴又名土司宴，原本是送迎将士的出征和凯旋的犒赏，现在逐渐演变成了土家族接待贵宾的盛大礼仪宴会。相传，唐代末年，江西彭氏土司征服了五溪诸蛮以后，建都城于永顺县会溪坪。第十一代土司彭福石于公元1135年移都城于老司城。为了鼓舞士气，增强军民信心和斗志，在一次军队作战凯旋回城时，彭福石特命令城中军民杀黄牛犒劳将士。宴席上，土司王命人支起100口大锅，熬牛头以鼓舞士气，希望以后每次作战都能够牛气冲天，大败敌人。土家士兵吃了这“牛头宴”后，果然士气大增，以后每逢作战都能够奇迹般的获得胜利。",3,"culture","Tujia"
"7","土家族传统文化视频介绍解说集 资料来源：湘西州民宗委网站http://mw.xxz.gov.cn/mzzs/ 梯玛歌上https://v.qq.com/x/page/l056007jdg5.html梯玛歌下https://v.qq.com/x/page/x0559j8qqw0.html",3,"culture","Tujia"
"8","从古籍中看土家族之《皇清职贡图》 土家族之《皇清职贡图》清乾隆十六年至二十八年，傅恒、董诰等纂，门庆安等绘。",3,"culture","Tujia"
"9","土家语的特点 本帖资料来源：《湘西地区少数民族语言态度研究》瞿继勇 著陕西师范大学 博士学位论文",4,"language","Tujia"
"10","土家语山歌《bifzivsarnif keirboxzaor》 作词：田秀珍演唱：田秀珍",4,"language","Tujia"
"11","土家族民俗之生育",3,"culture","Tujia"
"12","土家族民俗之丧葬",3,"culture","Tujia"
"13","土家族民俗之谜语",3,"culture","Tujia"
"14","土家族民俗之过年  如果视频无声请前往以下网站试听https://v.youku.com/v_show/id_XMzk1NjMxMzY2OA==.html?spm=a2hzp.8244740.0.0",3,"culture","Tujia"
"15","土家族民俗之摆手歌",3,"culture","Tujia"
"16","土家族民俗之哭嫁歌",3,"culture","Tujia"
"17","土家族民俗之咚咚喹",3,"culture","Tujia"
"18","土家族民俗之向老官人",3,"culture","Tujia"
"19","土家人与大巴国之关联。 一楼喂熊。 开始",3,"culture","Tujia"
"20","巴蛮“冉向田”其古书记载  《周书．蛮传》载：“有冉氏、向氏、田氏者聚落尤甚，余则大者万家，小者千户，更相崇树，称王侯，屯居三峡，断遏水路，荆蜀行人至有假道者。”",3,"culture","Tujia"
"21","土家族土司目录（最全不可错过） 找找你的姓。求置顶。 二。鄂西土司鄂西土司",3,"culture","Tujia"
"22","南部土家语配音动画片《狼来了》  感谢来自泸溪的向中期先生录制的南部土家语音频为南部土家语学习提供了宝贵的音频资料",4,"language","Tujia"
"23","土家族（土家语：Bifzivkar）是一个历史悠久的民族，有 土家族（土家语：Bifzivkar）是一个历史悠久的民族，有民族语言，属汉藏语系藏缅语族，接近彝语支，没有本民族文字，通用汉文。 土家族主要分布在湘、鄂、渝、黔交界地带的武陵山区。湖南省的土家族主要分布在湘西土家族苗族自治州的永顺、龙山、保靖、古丈等县，张家界市的慈利、桑植等县，常德市的石门等县；湖北省主要分布在恩施土家族苗族自治州的来凤、鹤峰、咸丰、宣恩、建始、巴东、恩施、利川等县市，宜昌市的长阳、五峰两县；重庆市主要分布在渝东南的黔江、酉阳、石柱、秀山、彭水等区县；贵州省主要分布在黔东北的沿河、印江、思南、江口、德江等县。 1956年10月，国家民委通过民族识别，确定土家族为单一民族。根据2010年第六次全国人口普查统计，土家族人口数为8353912人。    中国土家族的坐标 一、土家语分布地区（Tujia-speaking Areas）中国土家族的坐标￼￼Tujia Regions￼土家族区位位于湘鄂渝黔四省市交界之处土家语属汉藏语系藏缅语族。￼土家语北部方言（Northern Tujia Language）分布块中以土家族地区北部的龙山县西南部、保靖县、古丈县北部和永顺的南部和东南部这4县交界地带这一块最大尤为集中，使用人口最多，语言保存得较好，相对受汉语的影响也较轻一些。Ø 湖南省龙山县：隆头镇、岩冲乡、长潭乡、里耶镇、洗车河镇、苗儿滩镇、靛房镇、洛塔乡、干溪乡、猛西乡、凤溪镇、坡脚乡、他砂乡、内溪乡、贾市乡、Ø 湖南省永顺县：隆头乡、比耳乡、马王乡、拔茅镇、昂洞乡、龙溪乡、簸箕乡、对山乡、和平乡、西歧乡、首车镇、勺哈乡、打洞溪（胡玛语）Ø 湖南省保靖县：普戎镇、仙仁乡、涂乍乡Ø 湖南省古丈县：茄通乡、断龙乡Ø 湖北省来凤县：河西乡（残存）、河东乡（残存）Ø 湖北省鹤峰县（已消失于20世纪80年代后）朱家山村马头山。70年代以前，在马头山寨还有只会使用土家语而不懂汉语的老年土家族妇女。1981年调查时当时有41人能说，其中仅五六人能自由流利地对话，2003年再次去调查时原来能流利对话的几人均已作古，余者仅能说个别简单句子，或者零星词语，说不成完整复杂的句子了。Ø 湖南省慈利县（已消失于20世纪80年代末）：溪口镇、柳林铺乡等地。1987年8月中南民族学院土家语考察组调查时，例如溪口镇彭小莲会用土家语唱情歌、唱哭嫁歌；岩泊渡向顺安会唱土家语歌：“阿可必必戊卡可，戊必笼子杰咱坡；尼戊拿卡勒掐那恶，搓业闲思管他夺。(Arkov bifbix wuf kav lor, wufbix longrcir jef zavbor; Nif wuf lax kav ler kar laf wov, covnier sardier zanx tavdor.)”意为：“小哥去放牛，牛笼头手里拿好；你放牛时背把柴，家务事情不要管。”Ø 重庆市酉阳土家族苗族自治县：后溪镇（残存）、酉酬镇（残存）、可大乡（残存）Ø 重庆市秀山土家族苗族自治县：石堤镇（残存）￼土家语南部方言（Southern Tujia language）孟兹语，1000~1500人，在只分布在湘西州泸溪县潭溪镇下属几个村寨：Ø 下都村（584人）Ø 大波流村（858人），其中保留最完整、普及率最高的是村下的铺助祖（600多人），男女老少都会讲。Ø 且己村（692人），其中狗老壳组有400人会讲南部土家语。Ø 虎食溪村（274人）二、土家语使用人口(Tujia-speaking Population)究竟中国还有多少人能够使用土家语，目前还没有十分准确的专项统计数据。过去，有关调查研究员根据不同的主观方法，对土家语的使用人口做过一些初步的统计估算。但是由于各种因素的影响和缺乏统一的判定标准，他们各自得出的统计结果不尽一致。20世纪80年代以后，关于土家族的使用人口就先后有30万，20万，8万，4万等几种不同的说法。总的看来，土家语的使用人口是呈现急剧下降的趋势，大多数土家族聚居地的语言已经逐渐被汉语所替代，除了一些土家族老人还会用流利的土家语交流思想感情外，其他大多数年轻人只知道一点土家语的皮毛，语言是一个民族最直观的象征，如果土家族年轻人不加以传承，那么土家族就会名存实亡，最终从人类历史上消失殆尽。",3,"culture","Tujia"
"24","一个不合格的土家女孩 从小到大，我好像都从来没有了解过土家文化，现在到成都读书发现我们班几十个人而土家族就我一个，顿时有种说不出的感觉，我才从新给自己定义，然后我上百度搜贴吧看，发现了很多，也给自己涨了见识，土家文化真的是博大精深，而我却是个不合格的土家女孩，什么都不懂，深感惭愧…… 其实我以前也差不多，但是后来就到处看资料，现在感觉也了解了不少我们土家族的文化，历史。",8,"other","Tujia"
"25","土家族族体形成问题研究综述 百度 不错",7,"policy","Tujia"
"26","土家傩堂戏掌坛师罗会秀 在武陵山脉主峰梵净山西麓，有一位土家族农家妇女，一边辛勤劳作养家糊口，一边担当傩堂戏传人重担，执着地传承和弘扬傩堂戏，她就是贵州省铜仁地区印江土家族苗族自治县木黄镇荣光村第二十八代傩堂戏掌坛师罗会秀。她也是贵州省铜仁地区唯一的傩堂戏女性掌坛师。 土家傩堂戏掌坛师罗会秀",3,"culture","Tujia"
"27","人在浙江广东漂泊30年，累啊。 发个帖，没事情啊，下图我租房子的地方，还有我的苗族同事，现在再回家的路上，请假回遵义织金县了，来逛逛贴吧。话说杨正撸这个水军如何了，你们终于攻下土家族吧了，还当上小吧主了，666。 我同事苗族的是遵义织金县的",1,"networking","Tujia"
"28","想知道土家族远祖父系Y是什么吗？请加我们的QQ群。 土家族具体源流是什么呢？得看远祖父系。我们土家族的父系Y群是：52600447。欢迎广大土家族儿女进我们的群。 wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa wa.",3,"culture","Tujia"
"29","德江县土家语残存地名考证 德江县土家语残存地名考证 德江的土家族以前使用土家语，至今仍然留下大量土家语地名。但由于“改土归流”，封建统治者实行对少数民族强行同化，硬性革俗，大兴汉学，禁止使用土家语，规定不懂汉语不得为官。加之大量汉人迁入，乌江两岸商贸逐渐发达，虽对该地经济发展有利，但使得土家语言急剧消失，被汉语所取代。",4,"language","Tujia"
"30","阿朵土家语Rap+汉语新歌《打粑粑》Feat.马RS 阿朵土家语Rap+汉语新歌《打粑粑》Feat.马RS https://m.weibo.cn/1197929090/4320706873100132",4,"language","Tujia"
"31","思南县土家语地名如数家珍 思南县土家语地名如数家珍 思南县为土家、仡佬、苗等民族杂居之地，以前各民族都操用民族语言。改土归流之后，封建王朝的统治者实行对少数民族强行同化的政策，大兴汉学，禁用少数民族语言，加之乌江沿岸商贸逐渐发展，大量汉人迁入此地，使得思南县的土家语仡佬语苗语等少数民族语言急剧消失为汉语所取代，但今天思南县仍保留下来一些土家语地名。",7,"policy","Tujia"
"32","各地土家美食一样吗？ 各地土家美食是一样吗？我是湖北长阳土家族自治县的！ 好吃",3,"culture","Tujia"
"33","谁知道火铺具体尺寸，还有风簸。 谁知道火铺具体尺寸，还有风簸。",8,"other","Tujia"
"34","土家族民间故事《人熊嘎婆/熊娘嘎婆》上",3,"culture","Tujia"
"35","转贴:土家织锦之龙凤呈祥_乖幺妹土家织锦吧_百度贴吧 传说中的龙在土家人心中既威猛又高贵,而凤则代表着美丽与吉祥.对美满的婚姻人们称之为""龙凤配"",对爱情的祝福常以""龙凤呈祥""的美誉.《龙凤呈祥》土家织锦就富含着这种寓意,色彩典雅,古韵悠然,透出一派富丽,吉祥,喜庆的民族风格.整幅作品中可以看出龙腾凤飞,祥云在天,凤穿牡丹,花枝招展,鸳鸯相对,情意绵绵的场景.土家织锦之龙凤呈祥_乖幺妹土家织锦吧_百度贴吧来自：tieba.baidu.com/p/3818705730 好，太漂亮了！",3,"culture","Tujia"
